TEA,SLN,hel_bphigh,hel_castthma,hel_checkup,hel_fruitsveggies,hel_le,hel_mhlth,hel_obesity,hel_perpri,hel_perpub,hel_prtopu,hel_pharmacap,hel_phlth,hel_sleep,hel_stroke,hel_perins,hel_perunin,hel_clincap,hel_groccap,hel_bphigh_sd,hel_castthma_sd,hel_checkup_sd,hel_fruitsveggies_sd,hel_le_sd,hel_mhlth_sd,hel_obesity_sd,hel_perpri_sd,hel_perpub_sd,hel_prtopu_sd,hel_pharmacap_sd,hel_phlth_sd,hel_sleep_sd,hel_stroke_sd,hel_perins_sd,hel_perunin_sd,hel_clincap_sd,hel_groccap_sd
139,139,3976.69812375703,1057.92324547879,6782.12092949743,282.817219463,72.291076462,1755.78358003961,4161.5322164329,0.324317351107289,0.406256718985165,0.798306430272559,4.0990935093679,1782.48060844647,3872.63249746727,493.611232791859,0.711481401849065,0.288260589120619,1.94167587285848,0.862967054603769,1,1,3,0,0,1,1,0,4,1,4,0,3,4,1,3,4,2
240,240,3575.28689925303,1013.53336886924,6713.97071384853,358.499116098,76.5680515861,1654.9232048529,3836.87314424081,0.429979194555102,0.340773833524184,1.26177291873728,2.23548119509838,1571.44156985817,3751.73031881825,378.275315835781,0.730835604728804,0.269148267019338,0.298064159346451,0.745160398366127,2,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1
128,128,4288.6519745981,1099.14187876379,7054.58671226415,302.967130798,69.4159568419,1684.22831056834,4242.57777091845,0.390294284944466,0.388168727359818,1.00547585994139,6.33694685413594,1712.79489747338,3986.42328516092,552.327971282029,0.756608687842409,0.242792563542197,2.41407499205179,1.20703749602589,0,0,4,0,0,1,0,1,3,1,4,1,4,4,2,2,4,3
200,200,4586.61984053809,1156.92037536632,7114.02094381253,253.369793503,71.0205278117,1858.45531149731,4512.8305258447,0.267010407110999,0.467054692689716,0.571689806975957,3.4894232101104,1980.97120286942,4125.67882917706,621.367197138033,0.714674342833644,0.284914433935406,2.22054204279753,0.951660875484655,0,0,4,0,0,0,0,0,4,0,3,0,4,4,1,3,4,2
201,201,4750.80257823405,1176.47496496157,7272.97922242494,267.916886504,69.9267256613,1808.51862726471,4552.39271891567,0.307978625391561,0.458374792703151,0.671892587232674,4.07091480251068,1922.20583299568,4181.85181739377,645.820544091646,0.742472821079786,0.257195503961673,2.59058214705225,1.11024949159382,0,0,4,0,0,0,0,0,4,0,4,0,4,4,2,2,4,2
232,232,3535.09263343838,991.492081924849,6695.02283609204,348.912994147,76.2152844819,1606.05881201217,3762.59099085226,0.43224772338964,0.331706973385236,1.30310110450297,2.25362517250256,1545.70123146492,3679.3033255658,376.974322439904,0.727194264879432,0.272929033167175,0.346711565000394,0.520067347500591,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
209,209,3893.53244501605,1048.65411028234,6760.84715043815,296.258091312,74.1852901124,1754.64804878259,4095.18509446129,0.339733618510597,0.402586039276687,0.843878290268051,1.45919445180444,1771.292179423,3865.65758137459,468.731560453375,0.714466264825977,0.285606649815283,0.729597225902221,0,1,1,3,0,1,1,1,1,4,1,1,0,3,3,1,3,2,0
155,155,3552.17086585376,1026.69185839594,6618.78482190823,355.942604298,75.504078859,1741.02814455849,3992.84532683661,0.38226151827036,0.371330386129723,1.02943775287169,1.56011155460434,1628.09294327765,3801.69464367732,374.808421644934,0.722352697382054,0.277509152448712,0.173345728289371,0.520037184868113,2,1,2,2,2,1,1,1,3,1,1,1,3,2,2,2,1,0
247,247,3556.60844089173,1003.2765793304,6660.88227042963,348.225756729,75.9135551736,1674.63303538592,3911.04407042692,0.399390190477859,0.342141693097587,1.16732394366197,2.09864159617897,1593.61131519135,3787.45700431135,375.739168342939,0.710217814148282,0.289764662589588,0.349773599363162,0.699547198726324,2,1,2,2,2,1,1,2,2,1,2,2,3,2,1,3,2,1
162,162,1877.32116244088,631.871597088579,5139.64190945902,471.061278151,82.0083728405,851.325851066058,2081.06921170287,0.828140589282782,0.152675515590861,5.42418727769046,3.26975734891552,646.869983740923,2334.04123012787,138.702224910982,0.915787878405173,0.0839216478700698,0.261580587913242,1.70027382143607,4,4,0,4,4,4,4,4,0,4,3,4,0,0,4,0,1,4
