TEA,SLN,dem_totp,dem_popwh,dem_popbl,dem_popas,dem_pophi,dem_popm,dem_popf,dem_thh,dem_popse,dem_popch,dem_totp_sd,dem_popwh_sd,dem_popbl_sd,dem_popas_sd,dem_pophi_sd,dem_popm_sd,dem_popf_sd,dem_thh_sd,dem_popse_sd,dem_popch_sd,dem_perwh_sd,dem_perbl_sd,dem_peras_sd,dem_perhi_sd,dem_perm_sd,dem_perf_sd,dem_perse_sd,dem_perch_sd
216,216,66572,45754,17202,366,43176,31765,34803,18559,4444,23251,3,3,3,1,4,3,3,2,1,4,2,2,1,3,0,4,0,4
139,139,46703,26929,17111,371,22535,23505,23179,16828,4974,12336,1,1,3,1,2,2,1,2,2,1,1,3,1,2,2,2,2,2
240,240,62452,39865,17063,514,34616,31054,31407,20718,5396,19082,2,2,3,2,3,2,2,2,2,3,2,2,1,2,2,2,1,3
128,128,33629,13193,18868,406,8252,17364,16243,13753,3344,6697,0,0,4,1,0,0,0,1,0,0,0,4,2,0,4,0,2,0
200,200,31779,13205,17193,92,12671,15917,15851,11211,3731,8838,0,0,3,1,0,0,0,0,1,0,0,4,1,1,2,2,3,2
201,201,27307,8520,17851,112,6933,13770,13533,10333,2978,6595,0,0,3,1,0,0,0,0,0,0,0,4,1,0,2,2,2,1
232,232,57236,37615,14951,339,31333,28943,28293,19616,5265,16688,2,2,3,1,2,2,2,2,2,2,2,2,1,2,3,1,2,2
209,209,41497,25757,13682,128,24066,20798,20695,12768,4110,13025,1,1,2,1,2,1,1,1,1,2,2,3,1,3,2,2,2,3
155,155,58026,38634,16088,459,35410,27688,30328,16788,4013,19922,2,2,3,1,3,2,2,2,1,4,2,2,1,3,0,4,0,4
247,247,57496,38990,15158,438,35675,28529,28960,17324,4704,18664,2,2,3,1,3,2,2,2,2,3,2,2,1,3,2,2,1,4
162,162,79287,66846,3442,4590,12351,38978,40320,37374,8385,13298,4,4,0,4,0,4,4,4,4,2,4,0,4,0,2,2,2,0
174,174,84869,69567,5778,4073,20568,42534,42340,39789,8000,14525,4,4,1,4,1,4,4,4,4,2,4,0,4,0,2,2,2,0
177,177,74743,58491,7941,2371,28469,38519,36206,33419,6437,15121,4,4,1,3,2,4,4,4,3,2,3,1,3,1,4,0,1,0
184,184,105444,84630,8453,5910,22346,54739,50713,56363,9926,13787,4,4,1,4,2,4,4,4,4,2,3,1,4,0,4,0,2,0
203,203,76379,56183,9244,5943,15343,37982,38408,34488,7950,15687,4,4,2,4,1,4,4,4,4,2,3,1,4,0,2,2,2,0
